repository_name,issue_count
specify/specify7,226
sboxgame/issues,143
spyder-ide/spyder,226
ray-project/ray,446
google/mediapipe,115
bounswe/bounswe2022group6,170
microsoft/vscode-pull-request-github,209
ant-design/pro-components,220
prusa3d/PrusaSlicer,152
PaperMC/Paper,106
cli/cli,116
paradigmxyz/reth,150
ShadowMario/FNF-PsychEngine,357
KartoffelToby/better_thermostat,127
phpbrew/phpbrew,109
pytorch/pytorch,859
camunda/zeebe,162
emsesp/EMS-ESP32,107
home-assistant/home-assistant.io,261
teambtcmap/btcmap-data,443
magento/magento2,201
YimMenu/YimMenu,154
EddieHubCommunity/LinkFree,123
OpenShot/openshot-qt,110
amundsen-io/amundsen,107
Budibase/budibase,142
opencrvs/opencrvs-core,112
rust-lang/rust-clippy,109
invertase/react-native-firebase,120
cortezaproject/corteza,155
d8ahazard/sd_dreambooth_extension,200
GrapheneOS/os-issue-tracker,166
notepad-plus-plus/notepad-plus-plus,136
dotnet/aspnetcore,521
benphelps/homepage,134
RafaelGB/obsidian-db-folder,117
ValveSoftware/Source-1-Games,118
vfsfitvnm/ViMusic,157
rancher-sandbox/rancher-desktop,126
pyansys/pyaedt,106
ballerina-platform/ballerina-standard-library,224
ziglang/zig,519
cloudflare/wrangler2,115
istio/istio,264
WeakAuras/WeakAuras2,141
PaddlePaddle/PaddleDetection,156
pytorch/torchdynamo,123
minio/minio,105
FlutterFlow/flutterflow-issues,238
CarSnoop-Inc/carsnoop-issues,125
ethyca/fides,131
ethereum/geth-website,109
slsa-framework/slsa-github-generator,152
PCSX2/pcsx2,127
airbnb/lottie-web,195
Lidarr/Lidarr,156
termux/termux-packages,350
PaddlePaddle/FastDeploy,120
iv-org/invidious,105
MicrosoftDocs/azure-docs,1397
foundry-rs/foundry,142
huggingface/transformers,327
ONRR/onrr.gov-site,122
python/cpython,512
dotnet/docs,281
pulumi/pulumi,183
vector-im/element-web,319
immich-app/immich,170
MarlinFirmware/Marlin,157
pandas-dev/pandas,348
typeorm/typeorm,120
neovim/neovim,189
giantswarm/roadmap,147
surveyjs/survey-library,141
alcionai/corso,168
php/php-src,143
qgis/QGIS,199
Textualize/textual,102
Koenkk/zigbee2mqtt,593
pocketbase/pocketbase,114
godotengine/godot,1253
CleverRaven/Cataclysm-DDA,974
fluent/fluent-bit,105
jmix-framework/jmix,106
rome/tools,143
aws/aws-cdk,253
steedos/steedos-platform,100
NL-AMS-LOCGOV/zaakafhandelcomponent,133
obsproject/obs-studio,111
bigbluebutton/bigbluebutton,133
abpframework/abp,256
FreeCAD/FreeCAD,100
tutao/tutanota,108
mindsdb/mindsdb,106
filecoin-project/devgrants,171
Le-niao/Yunzai-Bot,102
warpdotdev/Warp,272
open-telemetry/opentelemetry-collector-contrib,161
NuGet/Home,218
OpenRCT2/OpenRCT2,358
GoogleContainerTools/skaffold,105
Cacti/cacti,155
emeryberger/CSrankings,175
medplum/medplum,110
